,albedo
2002,0.1519863518575827
2003,0.15056264400482175
2004,0.15078523258368173
2005,0.15148392816384634
2006,0.15026707823077834
2007,0.15260062242547667
2008,0.15045523891846338
2009,0.14940512552857396
2010,0.15183961018919942
2011,0.1502524800598621
2012,0.15064565589030582
2013,0.14934223890304563
2014,0.15048190702994665
2015,0.1512406729161739
2016,0.1504836765428384
2017,0.15149507423241934
2018,0.1502929739654064
2019,0.1508481142421563
2020,0.15159793322285012
2021,0.15050870676835376
2022,0.15142501766482985
