,albedo
2002,0.16040900349617004
2003,0.15982329100370404
2004,0.15980329612890878
2005,0.15998866905768708
2006,0.15989928320050237
2007,0.160328338543574
2008,0.159646396835645
2009,0.1597510054707527
2010,0.16031286617120105
2011,0.15956248342990872
2012,0.15960001697142917
2013,0.1592422785858313
2014,0.15992307662963864
2015,0.16094912712772683
2016,0.16023912653326988
2017,0.16031975795825318
2018,0.15966564913590744
2019,0.15996480857332548
2020,0.15982863679528234
2021,0.1596225475271543
2022,0.16023699442545572
