 1.1. Forest Formation, 1.2. Savanna Formation, 1.4 Floodable Forest (beta), 2.1. Wetland, 2.2. Grassland, 3.1. Pasture, 4.2. Urban Area, 5.1. River Lake and Ocean
-9.547600000000003,-0.03653333333333334,-0.00020000000000000052,-0.03666666666666668,-0.003933333333333351,9.314999999999998,0.03233333333333334,0.026866666666666664
-8.628600000000006,-0.037533333333333335,-0.00020000000000000052,-0.04266666666666668,-0.005933333333333353,8.303999999999995,0.03433333333333334,0.026866666666666664
-8.758600000000001,-0.03653333333333334,-0.00020000000000000052,-0.04266666666666668,0.0010666666666666463,8.336999999999996,0.03533333333333334,0.024866666666666662
-12.263600000000004,-0.03553333333333334,-0.00020000000000000052,-0.037666666666666675,6.666666666665239e-05,11.698,0.03733333333333334,0.02286666666666666
-14.559600000000003,-0.031533333333333344,-0.00020000000000000052,-0.044666666666666674,0.003066666666666648,13.732999999999997,0.03933333333333333,0.02286666666666666
-16.0696,-0.032533333333333345,-0.00020000000000000052,-0.038666666666666676,0.0020666666666666472,14.835999999999999,0.04133333333333333,0.015866666666666668
-17.9026,-0.03053333333333334,-0.00020000000000000052,-0.039666666666666676,0.003066666666666648,16.418,0.043333333333333335,0.026866666666666664
-19.857599999999998,-0.032533333333333345,-0.00020000000000000052,-0.037666666666666675,-0.0009333333333333485,18.153999999999996,0.04833333333333334,0.029866666666666666
-20.9786,-0.03553333333333334,-0.00020000000000000052,-0.037666666666666675,-0.0009333333333333485,19.075999999999993,0.05133333333333334,0.029866666666666666
-21.3596,-0.038533333333333336,-0.00020000000000000052,-0.03566666666666668,-0.005933333333333353,19.248999999999995,0.053333333333333344,0.03386666666666667
-20.321600000000004,-0.03953333333333334,-0.00020000000000000052,-0.03666666666666668,-0.005933333333333353,17.948999999999998,0.054333333333333345,0.025866666666666663
-20.5736,-0.04053333333333334,-0.00020000000000000052,-0.03466666666666668,-0.004933333333333352,17.945,0.05533333333333333,0.026866666666666664
-20.6276,-0.04153333333333334,-0.00020000000000000052,-0.037666666666666675,-0.006933333333333354,17.567,0.059333333333333335,0.02086666666666666
-20.9366,-0.04253333333333334,-0.00020000000000000052,-0.04066666666666668,-0.0029333333333333503,17.077999999999996,0.06433333333333334,0.011866666666666664
-20.861600000000003,-0.04253333333333334,-0.00020000000000000052,-0.04166666666666668,-0.005933333333333353,16.224999999999994,0.06833333333333334,0.014866666666666667
-21.7006,-0.04353333333333334,-0.00020000000000000052,-0.044666666666666674,-0.007933333333333348,15.948,0.06933333333333334,0.00686666666666666
-22.291600000000003,-0.04553333333333334,-0.00020000000000000052,-0.04066666666666668,-0.004933333333333352,15.323999999999998,0.07233333333333335,0.003866666666666671
-21.7626,-0.04453333333333334,-0.00020000000000000052,-0.04366666666666668,-0.003933333333333351,13.593999999999994,0.07333333333333335,0.005866666666666659
-21.4426,-0.04053333333333334,-0.00020000000000000052,-0.04066666666666668,-0.0029333333333333503,12.536999999999999,0.07633333333333335,0.005866666666666659
-21.0516,-0.037533333333333335,-0.00020000000000000052,0.009333333333333318,-0.0019333333333333494,11.698,0.07833333333333332,0.008866666666666662
-21.004600000000003,-0.03953333333333334,-0.00020000000000000052,-0.02766666666666668,-0.0029333333333333503,11.337999999999994,0.07933333333333333,0.011866666666666664
-21.562600000000003,-0.03953333333333334,-0.00020000000000000052,-0.02666666666666668,-0.004933333333333352,11.806999999999995,0.08033333333333333,0.0008666666666666684
-23.4146,-0.037533333333333335,-0.00020000000000000052,-0.060666666666666674,-0.01793333333333335,13.604,0.08333333333333333,0.00286666666666667
