Year,Forest,Pasture,aet,ppt,tmax,tmin,mean temp,albedo
2002,65.113,34.107,92.188545,131.25108506944446,31.386261,20.778011,26.082136,0.16040900349617
2003,61.608,37.468,90.47236,122.01773003472222,31.514969,20.906717,26.210844,0.159823291003704
2004,59.312,39.503,86.86987,151.8849971064815,31.414667,20.806417,26.110542,0.1598032961289087
2005,57.802,40.606,92.60196,128.55711805555555,31.919655,21.311403,26.61553,0.159988669057687
2006,55.969,42.188,94.62601,162.2408420138889,31.393919,20.78567,26.089792,0.1598992832005023
2007,54.014,43.924,92.70876,128.11811704282408,31.554855,20.946604,26.25073,0.160328338543574
2008,52.893,44.846,84.757034,145.77686631944445,31.523336,20.915087,26.21921,0.159646396835645
2009,52.512,45.019,88.27627,170.4521339699074,31.845291,21.237041,26.541166,0.1597510054707527
2010,53.55,43.719,93.71746,122.9066840277778,32.39327,21.785017,27.08914,0.160312866171201
2011,53.298,43.715,89.030495,170.42978153935186,31.554153,20.945904,26.250029,0.1595624834299087
2012,53.244,43.337,90.26159,123.79273726851852,31.678057,21.069807,26.373932,0.1596000169714291
2013,52.935,42.848,94.6946,147.2146629050926,31.763952,21.155703,26.45983,0.1592422785858313
2014,53.01,41.995,85.988,144.16742259837966,31.45527,20.847021,26.151146,0.1599230766296386
2015,52.171,41.718,84.37428,116.60879267939816,32.197857,21.589607,26.89373,0.1609491271277268
2016,51.58,41.094,94.73933,130.2368308738426,32.744576,21.793703,27.26914,0.1602391265332698
2017,52.109,39.364,89.57125,138.4886646412037,32.372715,21.651924,27.012321,0.1603197579582531
2018,52.429,38.307,88.16314,137.6294451678241,31.976622,21.33995,26.658285,0.1596656491359074
2019,52.82,37.468,82.497505,130.99174985532406,32.5013,21.893051,27.19718,0.1599648085733254
2020,52.867,37.108,83.807335,144.37790436921298,31.825758,21.21743,26.521593,0.1598286367952823
2021,52.309,37.577,91.91601,137.45777633101852,31.674723,21.066473,26.370598,0.1596225475271543
2022,50.457,39.374,91.86599,144.40560257523148,31.539557,20.915207,26.22738,0.1602369944254557
