time,aet,ppt,tmax,tmin,mean temp
1985-12-31,76.60534,137.79554759837964,31.726488,18.143986,24.935236
1986-12-31,81.941986,167.72080439814815,31.794327,18.211824,25.003077
1987-12-31,80.195984,151.79052372685186,32.590145,19.007647,25.798897
1988-12-31,75.310394,168.05996455439816,32.10351,18.52101,25.312262
1989-12-31,82.38467,167.1645001446759,31.80938,18.226877,25.01813
1990-12-31,88.976746,164.87337601273148,32.309193,18.726694,25.517944
1991-12-31,81.779045,159.3692238136574,32.343388,18.76089,25.55214
1992-12-31,84.55042,170.7181857638889,32.27982,18.697317,25.48857
1993-12-31,84.86071,168.44453124999998,32.255543,18.673037,25.464289
1994-12-31,83.98464,190.63447627314815,32.362125,18.779623,25.570875
1995-12-31,81.15479,182.7512839988426,32.484127,18.901627,25.692877
1996-12-31,83.32846,171.48837528935186,32.142475,18.559973,25.351225
1997-12-31,83.72831,167.00184100115743,32.73504,19.152536,25.943787
1998-12-31,85.74874,169.75782335069445,33.239502,19.657001,26.448252
1999-12-31,89.67322,171.6397677951389,32.50252,18.920023,25.711273
2000-12-31,83.84429,157.88403862847224,32.40648,18.823978,25.615229
2001-12-31,97.33063,167.11835937500004,32.445877,18.863375,25.654627
2002-12-31,93.12771,150.05884331597224,33.142147,19.559645,26.350897
2003-12-31,87.62919,189.43152850115743,32.642433,19.059935,25.851183
2004-12-31,82.327156,203.692552806713,32.50824,18.925741,25.71699
2005-12-31,83.94716,163.49287471064818,32.762875,19.180376,25.971626
2006-12-31,79.71794,165.06714771412038,32.77477,19.192268,25.98352
2007-12-31,78.88976,153.20669126157406,32.824257,19.241755,26.033005
2008-12-31,80.80963,162.42093098958335,32.325222,18.74272,25.533972
2009-12-31,83.61628,150.7894892939815,32.43407,18.85157,25.642822
2010-12-31,82.808846,160.59626736111113,33.060734,19.47823,26.269484
2011-12-31,82.46519,163.8535517939815,32.702045,19.119543,25.910795
2012-12-31,87.94102,153.20039424189815,32.62923,19.046728,25.83798
2013-12-31,79.58509,150.28398075810185,32.93509,19.352592,26.143839
2014-12-31,83.80581,143.54096498842594,32.81397,19.23147,26.02272
2015-12-31,89.05728,160.58265697337964,32.947796,19.365295,26.156546
2016-12-31,91.85801,174.95112847222222,33.478745,19.13646,26.307602
2017-12-31,89.649284,180.8609447337963,33.450718,19.057783,26.254251
2018-12-31,81.32645,184.12065972222226,32.40206,18.5389,25.470482
2019-12-31,79.996666,152.66935040509262,33.371708,19.789207,26.58046
2020-12-31,77.755974,139.50481047453704,33.2356,19.653105,26.444353
2021-12-31,79.74263,165.78135127314815,32.88513,19.302485,26.09381
2022-12-31,78.56446,127.37136140046299,33.20383,19.559122,26.381477
