Year,Forest,Pasture,aet,ppt,tmax,tmin,mean temp,albedo
2002,87.389,7.21,89.00709,184.5103370949074,31.36072,21.522215,26.441467,0.1418800937632719
2003,86.633,7.975,92.0232,169.0939597800926,31.331938,21.493431,26.412682,0.1409184671938419
2004,85.476,9.156,82.68892,187.69573929398143,31.351015,21.512512,26.431765,0.1409894252816836
2005,84.391,10.249,87.74496,221.3668872974537,31.346373,21.507866,26.427118,0.1412856429815292
2006,83.398,11.231,86.23444,212.4711841724537,30.956528,21.118025,26.037275,0.1418881999949613
2007,82.745,11.88,85.92831,190.90556640625,30.907463,21.068954,25.98821,0.1414180422822634
2008,81.949,12.669,84.80973,204.39798900462964,30.860945,21.022442,25.941694,0.1404867271582285
2009,81.154,13.507,84.28593,203.1449001736111,31.364973,21.526466,26.445719,0.1414069347083568
2010,80.6,14.06,94.00887,188.5913519965278,31.694366,21.855865,26.775116,0.1410330024858315
2011,80.206,14.431,88.67045,203.52896050347223,30.949545,21.11104,26.030294,0.1407080416878064
2012,80.119,14.485,90.913155,193.0327763310185,31.017881,21.179379,26.09863,0.1408667812744776
2013,79.961,14.628,90.944984,222.25447771990744,31.18812,21.349615,26.268867,0.140126903851827
2014,79.545,15.057,87.288635,204.382005931713,31.061241,21.222736,26.141989,0.1412296891212463
2015,78.978,15.589,87.110466,202.20645978009264,31.582008,21.743502,26.662756,0.1421794531246026
2016,77.921,16.383,95.54809,214.89996744791668,32.420475,22.395945,27.40821,0.1414681350191434
2017,76.961,17.352,90.88653,168.81372251157407,32.122192,22.213156,27.167673,0.1420124222834904
2018,76.054,18.25,93.56134,211.50154079861116,31.806824,22.034727,26.920774,0.1418677009642124
2019,74.541,19.729,84.60663,202.44479528356484,32.13252,22.294014,27.213266,0.1414431532224019
2020,73.143,21.113,85.14147,181.5738570601852,31.625257,21.786772,26.706015,0.1414035571118195
2021,71.774,22.442,91.54138,200.26061921296295,31.42977,21.591139,26.510452,0.1409914356966813
2022,70.427,23.827,87.65395,201.68611472800924,31.309069,21.464457,26.386763,0.1415039859712123
