 1.1. Forest Formation, 1.2. Savanna Formation, 1.4 Floodable Forest (beta), 2.1. Wetland, 2.2. Grassland, 2.4. Rocky Outcrop, 3.1. Pasture, 4.2. Urban Area, 4.3. Mining, 5.1. River Lake and Ocean
-4.957066666666648,-0.0038666666666666294,-0.021133333333333226,0.34093333333333337,-0.2280000000000002,-6.938893903907228e-18,5.0485999999999995,0.03366666666666668,0.020600000000000014,-0.23413333333333353
-5.550066666666638,-0.00486666666666663,-0.01413333333333322,0.20393333333333336,-0.21700000000000008,-6.938893903907228e-18,5.6376,0.03866666666666668,0.020600000000000014,-0.11913333333333354
-6.492066666666645,-0.010866666666666636,-0.005133333333333212,0.17993333333333333,-0.18800000000000017,-6.938893903907228e-18,6.5736,0.04666666666666669,0.022600000000000016,-0.13113333333333355
-7.86006666666664,-0.01486666666666664,-0.00013333333333320763,0.1409333333333333,-0.27,-6.938893903907228e-18,7.920599999999999,0.0546666666666667,0.022600000000000016,-0.0011333333333334306
-9.158066666666642,-0.013866666666666638,0.0088666666666668,0.15993333333333332,-0.2570000000000001,-6.938893903907228e-18,9.192599999999999,0.0626666666666667,0.02560000000000002,-0.029133333333333455
-10.507066666666645,-0.01686666666666664,0.014866666666666695,0.15993333333333332,-0.2799999999999998,-6.938893903907228e-18,10.5286,0.06966666666666671,0.028600000000000007,-0.015133333333333443
-11.873066666666645,-0.019866666666666644,0.013866666666666694,0.11693333333333328,-0.2999999999999998,-6.938893903907228e-18,11.8796,0.07466666666666671,0.03060000000000001,0.05586666666666629
-13.02306666666665,-0.019866666666666644,0.012866666666666693,0.12193333333333328,-0.31000000000000005,-6.938893903907228e-18,13.031600000000001,0.07666666666666672,0.03060000000000001,0.05986666666666629
-13.535066666666651,-0.019866666666666644,0.011866666666666692,0.15793333333333331,-0.3639999999999999,-6.938893903907228e-18,13.535600000000002,0.08266666666666667,0.03360000000000001,0.07786666666666653
-13.85606666666665,-0.022866666666666646,0.012866666666666693,0.17493333333333333,-0.31199999999999983,-6.938893903907228e-18,13.843600000000002,0.08566666666666667,0.038600000000000016,0.005866666666666465
-14.147066666666646,-0.026866666666666594,0.013866666666666694,0.09993333333333337,-0.30200000000000005,-6.938893903907228e-18,14.1006,0.10166666666666668,0.04160000000000002,0.07686666666666664
-15.056066666666638,-0.0318666666666666,0.011866666666666692,0.22893333333333338,-0.31300000000000017,-6.938893903907228e-18,14.9266,0.10966666666666669,0.04360000000000001,0.017866666666666475
-15.929066666666643,-0.04586666666666661,0.011866666666666692,0.15993333333333332,-0.3719999999999999,-6.938893903907228e-18,15.544599999999999,0.1146666666666667,0.04360000000000001,0.4028666666666667
-16.63406666666664,-0.050866666666666616,0.010866666666666802,0.09493333333333337,-0.34799999999999986,-6.938893903907228e-18,16.1386,0.1196666666666667,0.04460000000000001,0.5238666666666667
-17.52106666666664,-0.07686666666666661,0.003866666666666796,0.4139333333333333,-0.43300000000000005,-6.938893903907228e-18,16.7696,0.1266666666666667,0.04560000000000001,0.47186666666666666
-18.682066666666643,-0.08186666666666662,0.0078666666666668,0.6769333333333334,-0.3999999999999999,-6.938893903907228e-18,17.7136,0.1296666666666667,0.04760000000000001,0.22486666666666633
-19.944066666666643,-0.10586666666666661,0.010866666666666802,0.3549333333333334,-0.33899999999999997,-0.0010000000000000078,19.0286,0.1316666666666667,0.04760000000000001,0.38486666666666647
-21.304066666666643,-0.11986666666666662,0.011866666666666692,0.16793333333333332,-0.373,-0.0010000000000000078,20.2616,0.1346666666666667,0.04960000000000001,0.6088666666666667
-22.40206666666664,-0.13286666666666663,0.011866666666666692,0.23093333333333338,-0.381,-0.0010000000000000078,21.186600000000002,0.13966666666666672,0.052600000000000015,0.6228666666666665
-23.605066666666644,-0.1418666666666666,0.011866666666666692,0.2399333333333334,-0.3580000000000001,-0.0010000000000000078,22.230600000000003,0.14066666666666666,0.05560000000000002,0.6178666666666666
-24.543066666666647,-0.14486666666666662,0.006866666666666799,0.2699333333333333,-0.27700000000000014,-0.0010000000000000078,23.1096,0.14166666666666666,0.05760000000000002,0.49386666666666645
-25.880066666666643,-0.15386666666666662,0.010866666666666802,0.2919333333333333,-0.2839999999999998,-0.0010000000000000078,24.320600000000002,0.14166666666666666,0.06360000000000002,0.5878666666666663
-26.938066666666643,-0.1658666666666666,0.005866666666666798,-0.08006666666666667,-0.385,-0.0010000000000000078,25.741600000000002,0.14366666666666666,0.06560000000000002,0.6818666666666666
