Year,Forest,Pasture,tmin_mean_diff,tmax_mean_diff,mean temp_mean_diff,ppt_mean_diff,aet_mean_diff
2000,-4.957066666666648,5.0485999999999995,-0.33670235,0.24103165,-0.047836304,12.581246865354956,2.2154846
2001,-5.550066666666638,5.6376,-0.1920433,0.3105564,0.0592556,14.665090181327171,4.736046
2002,-6.492066666666645,6.5736,0.16004753,0.59604836,0.37804604,21.13565586419756,-2.1661758
2003,-7.86006666666664,7.920599999999999,-0.35278893,0.15115547,-0.10082054,13.388495129243864,3.604332
2004,-9.158066666666642,9.192599999999999,0.12589264,0.6165142,0.37120056,-1.0477100212191317,0.62844086
2005,-10.507066666666645,10.5286,0.068870544,0.48541832,0.27714348,-13.116633632330236,2.6307602
2006,-11.873066666666645,11.8796,-0.06937027,0.46504402,0.19783592,34.86800901813274,0.09023285
2007,-13.02306666666665,13.031600000000001,-0.18426895,0.50348854,0.15960693,8.926624469521613,-4.295601
2008,-13.535066666666651,13.535600000000002,-0.22564125,0.32378197,0.04907036,40.49442684220682,-2.9742737
2009,-13.85606666666665,13.843600000000002,0.38163757,0.3022499,0.34194183,24.524841338734603,-0.1233902
2010,-14.147066666666646,14.1006,0.26263237,0.6822605,0.47244453,29.410453317901244,-0.61932373
2011,-15.056066666666638,14.9266,0.36357307,0.6332588,0.4984131,6.877521460262386,-3.5256424
2012,-15.929066666666643,15.544599999999999,0.40807724,0.47436905,0.44122124,13.563668740354956,-1.9590454
2013,-16.63406666666664,16.1386,0.41664124,0.2716961,0.3441677,41.39438343942902,-2.383377
2014,-17.52106666666664,16.7696,0.9085541,0.50559425,0.7070713,61.844123022762346,-0.16571808
2015,-18.682066666666643,17.7136,1.0790386,1.0953827,1.0872059,20.164410204475303,-0.2312851
2016,-19.944066666666643,19.0286,0.3834629,0.5539417,0.4686985,6.398495852623455,4.163582
2017,-21.304066666666643,20.2616,0.30355644,0.50435066,0.40395164,12.905664544753108,2.7819443
2018,-22.40206666666664,21.186600000000002,-0.0022602081,0.08528519,0.04150963,26.20956717785495,0.24704742
2019,-23.605066666666644,22.230600000000003,0.4126587,0.5588474,0.485754,47.12587577160494,-4.121559
2020,-24.543066666666647,23.1096,0.55207825,0.6847782,0.61842537,0.0300496720679177,-0.0749588
2021,-25.880066666666643,24.320600000000002,0.28710938,0.42002296,0.3535633,15.431579619984603,-2.7962723
2022,-26.938066666666643,25.741600000000002,0.24602127,0.4643364,0.35517693,-8.787105275848745,2.385147
