Year,Forest,Pasture,tmin_mean_diff,tmax_mean_diff,mean temp_mean_diff,ppt_mean_diff,aet_mean_diff
2000,-12.950399999999988,12.560666666666664,0.09464264,0.09463501,0.094638824,-9.396643036265402,0.8960571
2001,-14.675399999999996,13.897666666666664,0.13403893,0.1340332,0.13403702,-0.1623222897376024,14.382393
2002,-16.719399999999993,15.792666666666664,0.8303089,0.8303032,0.830307,-17.221838348765402,10.179474
2003,-19.5004,18.132666666666665,0.33059883,0.3305893,0.3305931,22.150846836419788,4.680954
2004,-22.697399999999995,20.64966666666667,0.19640541,0.19639587,0.19639969,36.41187114197536,-0.6210785
2005,-24.367399999999996,21.427666666666667,0.45104027,0.45103073,0.45103645,-3.787806954089461,0.99892426
2006,-25.27839999999999,21.672666666666665,0.4629326,0.46292496,0.46293068,-2.2135339506172613,-3.2302933
2007,-25.49439999999999,21.448666666666668,0.51241875,0.512413,0.51241493,-14.073990403163576,-4.0584717
2008,-25.786399999999993,21.310666666666663,0.013383865,0.013378143,0.013381958,-4.859750675154288,-2.1386032
2009,-25.883399999999995,21.279666666666664,0.122234344,0.122226715,0.12223244,-16.491192370756153,0.66804504
2010,-25.86939999999999,21.145666666666664,0.74889374,0.7488899,0.74889374,-6.684414303626511,-0.13938904
2011,-26.252399999999994,21.376666666666665,0.3902073,0.39020157,0.39020538,-3.427129870756147,-0.4830475
2012,-26.201399999999992,20.946666666666665,0.31739235,0.31738663,0.31739044,-14.08028742283949,4.9927826
2013,-26.423399999999994,19.789666666666662,0.6232567,0.62324524,0.62324905,-16.996700906635795,-3.363144
2014,-26.812399999999997,19.09466666666666,0.5021343,0.5021248,0.5021305,-23.7397166763117,0.85757446
2015,-26.98839999999999,18.154666666666664,0.6359596,0.635952,0.6359558,-6.698024691358,6.109047
2016,-27.132399999999997,17.757666666666665,0.40712357,1.1669006,0.7870121,7.670446807484581,8.909775
2017,-27.234399999999994,17.342666666666666,0.32844734,1.138874,0.73366165,13.580263069058644,6.70105
2018,-27.368399999999994,17.380666666666663,-0.19043541,0.09021759,-0.050107956,16.839978057484615,-1.621788
2019,-27.850399999999993,17.561666666666667,1.0598717,1.059864,1.0598698,-14.611331259645029,-2.9515686
2020,-28.078399999999995,17.558666666666667,0.923769,0.92375565,0.9237633,-27.775871190200604,-5.1922607
2021,-28.518399999999993,18.006666666666668,0.5731487,0.57328796,0.5732193,-1.4993303915894955,-3.2056046
2022,-29.446399999999997,19.560666666666663,0.8297863,0.89198685,0.8608875,-39.909320264274655,-4.383774
