 1.1. Forest Formation, 1.4 Floodable Forest (beta), 2.1. Wetland, 2.2. Grassland, 3.1. Pasture, 4.2. Urban Area, 5.1. River Lake and Ocean
0.0017999999999886995,0.1615333333333311,-0.030200000000000005,0.033666666666666706,0.0038666666666666693,0.00019999999999999836,-0.17093333333333316
0.0027999999999934744,0.17053333333333143,-0.023200000000000012,0.0256666666666667,0.0028666666666666684,0.00019999999999999836,-0.17893333333333317
-0.00920000000000698,0.1645333333333312,-0.024200000000000013,0.019666666666666693,0.0018666666666666692,0.00019999999999999836,-0.15193333333333303
-0.019200000000012096,0.1645333333333312,-0.031200000000000006,0.03766666666666671,0.0048666666666666684,0.00019999999999999836,-0.15693333333333293
-0.025200000000012324,0.16853333333333254,-0.041200000000000014,0.044666666666666716,0.00686666666666667,0.00019999999999999836,-0.15493333333333315
-0.01820000000000732,0.18453333333333255,-0.023200000000000012,0.0606666666666667,0.008866666666666669,0.00019999999999999836,-0.21293333333333297
-0.02420000000000755,0.1885333333333321,-0.025200000000000014,0.07166666666666671,0.008866666666666669,0.00019999999999999836,-0.2199333333333331
-0.041200000000003456,0.17953333333333177,-0.027200000000000016,0.07066666666666671,0.007866666666666668,0.00019999999999999836,-0.1899333333333333
-0.036200000000008004,0.19353333333333111,-0.024200000000000013,0.0856666666666667,0.005866666666666669,0.00019999999999999836,-0.22493333333333299
-0.04620000000001312,0.18953333333333156,-0.010200000000000015,0.042666666666666714,0.0048666666666666684,0.00019999999999999836,-0.18093333333333295
-0.0502000000000038,0.201533333333332,-0.02020000000000001,0.0876666666666667,0.0028666666666666684,0.00019999999999999836,-0.22193333333333287
-0.05320000000000391,0.2035333333333309,-0.01920000000000001,0.07866666666666669,0.0028666666666666684,0.00019999999999999836,-0.21393333333333286
-0.07020000000001403,0.20053333333333256,-0.00020000000000000573,0.0946666666666667,0.0048666666666666684,0.00019999999999999836,-0.2309333333333332
-0.07320000000001414,0.2145333333333319,-0.03320000000000001,0.09766666666666671,0.005866666666666669,0.00019999999999999836,-0.21193333333333308
-0.08720000000000994,0.2145333333333319,-0.029200000000000004,0.09766666666666671,0.008866666666666669,0.00019999999999999836,-0.20493333333333297
-0.1092000000000155,0.19553333333333178,-0.012200000000000003,0.09766666666666671,0.012866666666666669,0.00019999999999999836,-0.18593333333333328
-0.1162000000000063,0.19353333333333111,-0.012200000000000003,0.1156666666666667,0.015866666666666668,0.00019999999999999836,-0.19693333333333296
-0.12620000000001141,0.20653333333333102,-0.008200000000000013,0.1156666666666667,0.01686666666666667,0.00019999999999999836,-0.20593333333333286
-0.13920000000001664,0.2115333333333318,-0.008200000000000013,0.1306666666666667,0.015866666666666668,0.00019999999999999836,-0.2109333333333332
-0.15920000000001266,0.18653333333333144,0.0358,0.1146666666666667,0.01686666666666667,0.00019999999999999836,-0.19493333333333318
-0.17420000000001323,0.17853333333333232,0.007800000000000001,0.14466666666666672,0.01786666666666667,0.00019999999999999836,-0.17593333333333305
-0.19120000000000914,0.10153333333333237,0.05479999999999999,0.14566666666666672,0.024866666666666672,0.00019999999999999836,-0.15993333333333304
-0.2412000000000063,-0.24446666666666772,0.27280000000000004,0.13666666666666671,0.06486666666666667,0.00019999999999999836,-0.08793333333333297
