 1.1. Forest Formation, 1.2. Savanna Formation, 1.4 Floodable Forest (beta), 2.1. Wetland, 2.2. Grassland, 2.4. Rocky Outcrop, 3.1. Pasture, 3.2.1.5. Other Temporary Crops, 4.2. Urban Area, 4.3. Mining, 5.1. River Lake and Ocean
-12.950399999999988,-0.04346666666666668,-6.666666666666626e-05,-0.008466666666666678,-0.01993333333333336,0.0,12.560666666666664,0.3181333333333333,0.006399999999999996,0.004666666666666659,-0.012666666666666604
-14.675399999999996,-0.06746666666666667,-6.666666666666626e-05,-0.009466666666666679,-0.022933333333333028,0.0,13.897666666666664,0.5251333333333335,0.007399999999999997,0.004666666666666659,-0.011666666666666603
-16.719399999999993,-0.1534666666666667,-6.666666666666626e-05,0.0005333333333333232,-0.027933333333333366,0.0,15.792666666666664,0.6381333333333334,0.008399999999999998,0.004666666666666659,-0.006666666666666599
-19.5004,-0.16746666666666668,-6.666666666666626e-05,0.011533333333333326,-0.04393333333333338,0.0,18.132666666666665,0.6801333333333333,0.008399999999999998,0.004666666666666659,-0.0016666666666665941
-22.697399999999995,-0.16546666666666668,-6.666666666666626e-05,0.011533333333333326,-0.1109333333333331,0.0,20.64966666666667,1.0981333333333334,0.009399999999999999,0.00566666666666666,-0.0016666666666665941
-24.367399999999996,-0.1464666666666667,-6.666666666666626e-05,0.003533333333333319,-0.26393333333333313,0.0,21.427666666666667,1.3331333333333335,0.011399999999999993,0.00566666666666666,-0.003666666666666596
-25.27839999999999,-0.14146666666666668,-6.666666666666626e-05,0.005533333333333321,-0.3249333333333333,0.0,21.672666666666665,1.5611333333333335,0.012399999999999994,0.00566666666666666,-0.003666666666666596
-25.49439999999999,-0.1444666666666667,-6.666666666666626e-05,0.009533333333333324,-0.3539333333333332,0.0,21.448666666666668,1.9351333333333334,0.012399999999999994,0.00566666666666666,-0.002666666666666595
-25.786399999999993,-0.1504666666666667,-6.666666666666626e-05,0.009533333333333324,-0.3769333333333331,0.0,21.310666666666663,2.3161333333333336,0.013399999999999995,0.00566666666666666,0.0013333333333334085
-25.883399999999995,-0.1434666666666667,-6.666666666666626e-05,0.003533333333333319,-0.38593333333333324,0.0,21.279666666666664,2.1501333333333332,0.014399999999999996,0.00566666666666666,0.0013333333333334085
-25.86939999999999,-0.12946666666666667,-6.666666666666626e-05,0.001533333333333324,-0.39293333333333313,0.0,21.145666666666664,1.8431333333333333,0.014399999999999996,0.00566666666666666,0.0013333333333334085
-26.252399999999994,-0.10246666666666668,-6.666666666666626e-05,-0.0014666666666666786,-0.39893333333333314,0.0,21.376666666666665,1.6171333333333333,0.015399999999999997,0.00566666666666666,-0.0006666666666665932
-26.201399999999992,-0.09046666666666667,-6.666666666666626e-05,-0.008466666666666678,-0.39793333333333325,0.0,20.946666666666665,1.9001333333333332,0.015399999999999997,0.00566666666666666,-0.0006666666666665932
-26.423399999999994,-0.08946666666666667,-6.666666666666626e-05,-0.01046666666666668,-0.41893333333333316,0.0,19.789666666666662,2.7141333333333333,0.015399999999999997,0.00566666666666666,-0.0076666666666665995
-26.812399999999997,-0.09046666666666667,-6.666666666666626e-05,-0.006466666666666676,-0.4339333333333333,0.0,19.09466666666666,2.9081333333333332,0.016399999999999998,0.00566666666666666,-0.011666666666666603
-26.98839999999999,-0.07146666666666668,-6.666666666666626e-05,-0.006466666666666676,-0.4559333333333331,0.0,18.154666666666664,2.9741333333333335,0.016399999999999998,0.00566666666666666,-0.0076666666666665995
-27.132399999999997,-0.06246666666666667,-6.666666666666626e-05,-0.01146666666666668,-0.4609333333333332,0.0,17.757666666666665,2.8111333333333333,0.0174,0.00566666666666666,-0.0086666666666666
-27.234399999999994,-0.05946666666666667,-6.666666666666626e-05,-0.013466666666666675,-0.4759333333333331,0.0,17.342666666666666,2.8591333333333333,0.0174,0.00566666666666666,-0.005666666666666598
-27.368399999999994,-0.06546666666666667,-6.666666666666626e-05,-0.014466666666666676,-0.4729333333333332,0.0,17.380666666666663,2.6391333333333336,0.0184,0.00566666666666666,-0.002666666666666595
-27.850399999999993,-0.06146666666666667,-6.666666666666626e-05,-0.015466666666666677,-0.4719333333333331,0.0,17.561666666666667,2.4711333333333334,0.0184,0.00566666666666666,-0.0016666666666665941
-28.078399999999995,-0.05046666666666669,-6.666666666666626e-05,-0.014466666666666676,-0.4719333333333331,0.0,17.558666666666667,2.1761333333333335,0.0184,0.00566666666666666,-0.005666666666666598
-28.518399999999993,-0.05246666666666666,-6.666666666666626e-05,-0.015466666666666677,-0.4699333333333331,0.0,18.006666666666668,1.9021333333333335,0.0184,0.007666666666666662,-0.009666666666666601
-29.446399999999997,-0.06746666666666667,-6.666666666666626e-05,-0.04046666666666668,-1.3579333333333332,0.0010000000000000009,19.560666666666663,1.7541333333333333,0.0184,0.008666666666666656,0.00033333333333340764
