Year,Forest,Pasture,aet,ppt,tmax,tmin,mean temp,albedo
2002,82.616,11.42,79.363335,187.8081344039352,31.53443,21.040083,26.287256,0.1372217200696468
2003,81.248,12.767,85.13384,180.06097366898152,31.089537,20.527246,25.80839,0.1369905446966488
2004,79.95,14.039,82.15795,165.62476851851852,31.554895,21.005928,26.28041,0.1368418981631596
2005,78.601,15.375,84.16027,153.55584490740742,31.4238,20.948906,26.186354,0.1382860839366912
2006,77.235,16.726,81.61974,201.5404875578704,31.403425,20.810665,26.107046,0.1373906321823596
2007,76.085,17.878,77.23391,175.59910300925927,31.44187,20.695766,26.068817,0.1380528770387172
2008,75.573,18.382,78.55524,207.16690538194447,31.262163,20.654394,25.95828,0.1368592344224452
2009,75.252,18.69,81.40612,191.19731987847223,31.240631,21.261673,26.251152,0.1363294646143913
2010,74.961,18.947,80.91019,196.0829318576389,31.620642,21.142668,26.381655,0.1372140944004058
2011,74.052,19.773,78.00387,173.55000000000004,31.57164,21.243608,26.407623,0.1362115181982517
2012,73.179,20.391,79.570465,180.2361472800926,31.41275,21.288113,26.350431,0.1366420884927113
2013,72.474,20.985,79.14613,208.06686197916667,31.210077,21.296677,26.253378,0.1357124286393324
2014,71.587,21.616,81.36379,228.5166015625,31.443975,21.78859,26.616282,0.1362109296023845
2015,70.426,22.56,81.298225,186.83688874421296,32.033764,21.959074,26.996416,0.1372248070935408
2016,69.164,23.875,85.69309,173.0709743923611,31.492323,21.263498,26.377909,0.1369932082792123
2017,67.804,25.108,84.311455,179.57814308449076,31.442732,21.183592,26.313162,0.1376328145464261
2018,66.706,26.033,81.77656,192.8820457175926,31.023666,20.877775,25.95072,0.136603582650423
2019,65.503,27.077,77.40795,213.7983543113426,31.497229,21.292694,26.394964,0.1370365818341573
2020,64.565,27.956,81.45455,166.70252821180557,31.62316,21.432114,26.527636,0.1373205445706844
2021,63.228,29.167,78.73324,182.10405815972223,31.358404,21.167145,26.262774,0.136954054236412
2022,62.17,30.588,83.91466,157.8853732638889,31.402718,21.126057,26.264387,0.1373427125314871
